
MP0001,Matematika,Mata Pelajaran Matematika Kelas 10
MP0002,Bahasa Indonesia,Mata Pelajaran Bahasa Indonesia Kelas 10
MP0003,Bahasa Inggris,Mata pelajaran Bahasa Inggris Kelas 10
MP0004,Fisika,Mata pelajaran Fisika Kelas 10
MP0005,Kimia,Mata pelajaran Kimia Kelas 10
MP0006,Biologi,Mata pelajaran Biologi Kelas 10
MP0007,Sejarah,Mata pelajaran Sejarah Kelas 10
MP0008,Pendidikan Agama Islam dan Budi Pekerti,Mata Pelajaran PAI Kelas 10
MP0009,Ekonomi,Mata Pelajaran Ekonomi Kelas 10
MP0010,Geografi,Mata Pelajaran Ekonomi Kelas 10
MP0011,Bahasa Indonesia,Bahasa Indonesia Kelas 1
MP0012,"Pendidikan Jasmani Olahraga, dan Kesehatan",
MP0013,Prakarya,Prakarya Kelas 10
MP0014,Teknologi Informasi dan Komunikasi,Mata Pelajaran TIK MA
MP0015,Sosiologi,Sosiologi Kelas 10
MP0016,Fisika,SMA
MP0017,Kimia,SMA
MP0018,Bahasa Jerman,-
